MaCK,SanCK,GiaHienTai,GiaSoSach,P/B,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,,
000001.SS,HASTC,3550.3999,0,N/A,3696.17,3196.77,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,China ShangHai Composite Index,SSE Composite Index,,,,,,,,,
A32,HASTC,30.5000,0,85626%,38.73,23.03,6.19,4.9,862%,1738%,1.30,6800000,6800000,0,0,207400000,0,0,242217,246079,488295,CTCP 32,32 Joint Stock Company,Số 170 Quang Trung - P. 10 - Q. Gò Vấp - Tp. Hồ Chí Minh,(84.28) 940 416,,http://32jsc.com/,,,,,
AAS,HASTC,11.9000,0,105496%,34.20,5.60,-0.04,-297.5,-25%,-36%,2.93,31000000,31000000,0,0,368899988,616151,-1246,349541,141053,490594,CTCP Chứng khoán SmartInvest,SmartInvest Securities Joint Stock Company,Tầng 4 - Số 70 Nam Đồng - Q.Đống Đa - hà Nội,(84.43) 573 9779,,http://www.sisi.com.vn,,,,,
AAV,HASTC,12.5000,0,102041%,15.65,3.74,0.98,12.8,234%,360%,1.68,31874996,31874996,0,0,398437450,329096,14067,390601,210098,600699,CTCP Việt Tiên Sơn Địa ốc,Viet Tien Son Real Estate Holding Company,Tòa nhà Việt Tiên Sơn - Khu dân cư phía Đông đường Yết Kiêu - P. Cộng Hòa - Tp. Chí Linh - T. Hải Dương,(84.24) 3933 6999,(84- 22) 0626 6373,www.viettienson.com,,,,,
ABB,HASTC,19.2000,0,117647%,25.00,10.80,2.18,8.8,127%,1337%,1.90,571311355,571311355,0,0,10969178452,6579146,1246663,9324005,88685097,98009102,Ngân hàng Thương mại cổ phần An Bình,Ngân hàng Thương mại cổ phần An Bình,,,,,,,,,
ABC,HASTC,11.8000,0,64978%,20.60,9.70,1.69,7.0,421%,930%,1.49,20393000,20393000,0,9060,240637404,2716913,34444,370238,447656,817893,CTCP Truyền thông VMG,VMG Media JSC,Tầng 6 tòa nhà PEAKVIEW Tower Số 36 Hoàng Cầu - P. Ô Chợ Dừa - Q. Đông Đa - Tp. Hà Nội,(84.24) 3537 8820,024 37726091,http://vmgmedia.vn,,,,,
ABI,HASTC,52.5000,0,177305%,62.10,28.99,7.15,7.3,881%,2415%,1.11,38000000,38000000,0,17326900,1995000000,1689269,271693,1125053,1960197,3085250,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Agriculture Bank Insurance Joint Stock Corporation,Tầng 6 nhà 29T1, đường Hoàng Đạo Thúy - Q.Cầu Giấy- Hà Nội,(84.24) 6299 0055,024 6-258.00.55,http://www.abic.com.vn,,,,
ABR,HASTC,22.2000,0,184692%,34.90,19.00,0.87,25.5,583%,726%,1.44,20000000,20000000,0,0,444000015,89623,0,240453,58587,299040,CTCP Đầu tư Nhãn hiệu Việt,Viet Brand Invest Joint Stock Company,CR3 - 16G Lầu 2 - 109 Tôn Dật Tiên - P. Tân Phú - Q.7 - Tp. HCM,(84.28) 5413 8366,028 6292 8618,http://vbinvest.com.vn,,,,,
ABT,HASTC,26.9000,0,58250%,33.42,25.80,3.34,8.1,571%,723%,0.95,9009407,11558307,2548900,6912531,310918454,319691,30096,416030,110646,526676,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Bentre Aquaproduct Import And Export JSC,Ấp 9 - X.Tân Thạch - H.Châu Thành - T.Bến Tre,(84.275) 386 0265,+84-(0)75-386.03.46,http://www.aquatexbentre.com,,,,,
AC4,HASTC,4.2000,0,25516%,4.20,3.00,2.70,1.6,242%,1639%,-0.08,2940862,2940862,0,0,12351620,0,0,48411,279725,328136,CTCP ACC-244,AAC-224 Joint Stock Company,Số 164 Lê Trọng Tấn - P. Khương Mai - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3565 1528 - 3565 2030,043 852 2622,http://www.acc244.com.vn,,,,,
ACE,HASTC,36.0000,0,151515%,41.00,24.33,6.25,5.8,951%,2631%,1.08,3050781,3050781,0,1489482,109828116,199947,5344,72473,128037,200510,CTCP Bê tông Ly tâm An Giang,An Giang Centrifugal Concrete JSC,Quốc lộ 91 - P.Mỹ Thới - Tp.Long Xuyên - T.An Giang,(84.296) 393 1184,2963931187,aceco.com.vn,,,,,
ACM,HASTC,2.4000,0,33287%,4.80,0.50,-1.16,-2.1,-957%,-1605%,3.50,51000000,51000000,0,24990000,122400005,0,0,367678,248655,616333,CTCP Tập đoàn Khoáng sản Á Cường,A Cuong Mineral Group JSC,Thôn Gốc Gạo - X.Cẩm Đàn - H.Sơn Động - T.Bắc Giang,(84.204) 222 6669,0240 222 6669,http://www.acuonggroup.vn,,,,,
ACS,HASTC,11.0000,0,65593%,15.80,9.00,3.12,3.5,262%,1861%,0.65,4000000,4000000,0,0,44000000,0,0,67073,410104,477177,CTCP Xây lắp Thương mại 2,Architect & Construction Service Corporation,36 Ung Văn Khiêm - P. 25 - Q. Bình Thạnh - Tp. Hồ Chí Minh,(84.28) 3899 4461,028 3899 0246,http://www.acsc.com.vn,,,,,
ACV,HASTC,73.1000,0,416050%,83.10,51.60,0.46,158.9,178%,261%,0.93,2177173236,2177173236,0,0,159151360229,6121853,999513,38246996,18060500,56307496,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Airports Corporation Of VietNam,Tòa nhà TCT Cảng Hàng không Việt Nam - Số 58 Trường Sơn - P. 2 - Q. Tân Bình - Tp. HCM,(84.28) 3848 5383,8.38445127,http://vietnamairport.vn/,,,,,
ADC,HASTC,27.8000,0,134951%,29.50,10.99,4.07,6.8,1035%,1974%,2.23,3060000,3060000,0,1499400,85067998,389810,0,63049,57211,120260,CTCP Mỹ thuật và Truyền thông,Art Design And Communication JSC,187B Giảng Võ - P.Cát Linh - Q.Đống Đa - Tp.Hà Nội,(84.24) 3512 2163,024 35.12.13.85,http://adc.net.vn,,,,,
ADP,HASTC,29.3000,0,166762%,35.60,10.62,5.40,5.4,2479%,3071%,1.39,15359914,15359914,0,4672387,450045468,562962,0,269875,64429,334303,CTCP Sơn Á Đông,A Dong Paint JSC,1387 Bến Bình Đông - P.15 - Q.8 - Tp.HCM,(84.28) 3855 2689 - 3980 2198,028 855 5092,http://adongpaint.com.vn,,,,,
AFX,HASTC,13.3000,0,123034%,15.10,5.10,0.54,24.6,418%,495%,1.58,35000000,35000000,0,0,465500007,690663,0,378488,70335,448823,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,An Giang Agriculture and Foods Import - Export JSC,Số 2045 Trần Hưng Đạo - Khóm Thạnh An - P. Mỹ Thới - Tp. Long Xuyên - T. An Giang,(84.296) 393 2963,76.3932981,http://www.afiex.com.vn,,,,,
AG1,HASTC,6.5000,0,77658%,11.50,6.40,-1.91,-3.4,-965%,-2280%,1.28,4863386,4863386,0,0,31612009,116582,0,40701,55422,96123,CTCP 28.1,28.1 JSC,Số 3 Nguyễn Oanh - P. 10 - Q. Gò Vấp Tp. HCM,(84 028) 38 940 914,028 83894 1668,http://www.agtex28-1.com,,,,,
AGF,HASTC,3.0000,0,N/A,6.10,2.50,-7.91,-0.4,-4156%,36502%,0.96,28109743,28109743,0,13773774,84329229,693214,0,-66351,580993,514642,CTCP Xuất nhập khẩu Thủy sản An Giang,Angiang Fisheries Import Export JSC,1234 Trần Hưng Đạo - P.Bình Đức - Tp.Long Xuyên - T.An Giang,(84.296) 385 2368,+84-(0)76-852.202,http://www.agifish.com.vn,,,,,
AGP,HASTC,18.4000,0,124661%,19.50,14.10,1.93,9.5,490%,1310%,1.24,15326740,15326740,0,2112781,282012010,513858,0,226164,378668,604833,CTCP Dược phẩm Agimexpharm,Agimexpharm Pharmaceutical Joint Stock Company,27 Nguyễn Thái Học - P. Mỹ Bình - Tp. Long Xuyên - T. An Giang,(84.296) 385 6960 - (84.8) 3962 4777,(076) 3857301,http://agimexpharm.com,,,,,
AGX,HASTC,30.8000,0,76162%,44.90,26.20,5.68,5.4,1069%,1404%,0.58,10800000,10800000,0,1158200,332639992,0,0,436741,136818,573559,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,Saigon Export Foodstuffs and Agricultural Products JSC,58 Võ Văn Tần - P.6 - Q.3 - Tp.HCM,(84.28) 3930 3186,028 3930 3186,http://agrexland.com,,,,,
AIC,HASTC,12.0000,0,92593%,18.60,12.00,0.59,20.3,159%,456%,1.04,80000000,80000000,0,0,960000000,1571433,47311,1036738,1944409,2981147,Công ty cổ phần Bảo hiểm Hàng không,Công ty cổ phần Bảo hiểm Hàng không,,,,,,,,,
ALT,HASTC,12.7000,0,30863%,16.10,10.02,2.31,5.5,411%,562%,0.81,5300895,5736709,435814,3024536,72856203,201936,0,218106,80281,298386,CTCP Văn hóa Tân Bình,Alta Company,Đường số 11 - KCN Tân Bình - P.Tây Thạnh - Q.Tân Phú - Tp.HCM,(84.28) 3816 2884,028 38.162.887,http://alta.com.vn,,,,,
ALV,HASTC,2.6000,0,22165%,4.20,1.70,0.51,5.1,251%,430%,1.23,5657936,5657936,0,1473888,14710633,8206,1710,66394,47571,113965,CTCP Xây dựng ALVICO,ALVICO Construction JSC,Đường Trường Sơn, Tổ 3 - Tổ dân phố 5 - TT. A Lưới - H. A Lưới - T. Thừa Thiên Huế,(84.234) 387 0729,84-(0236) 3 674588,http://www.alvico.vn/,,,,
AMC,HASTC,19.5000,0,107025%,22.70,14.93,2.94,6.6,924%,1612%,0.81,2850000,2850000,0,1396500,55575000,161660,0,51932,38663,90594,CTCP Khoáng sản Á Châu,Asia Mineral Joint Stock Company,Lô 32C - KCN Nam Cấm - Nghi Lộc - T.Nghệ An,(84.238) 379 1777,(84-4) 3 879 1555,http://www.amcvina.vn,,,,,
AME,HASTC,8.6000,0,66358%,14.70,6.00,0.84,10.2,100%,646%,1.15,25200000,25200000,0,5880000,216720010,1600183,0,326573,1778054,2104627,CTCP Alphanam E&C,Alphanam E&C Joint Stock Company,Số 47 Vũ Trọng Phụng - P.Thanh Xuân Trung - Q.Thanh Xuân - Tp.Hà Nội,(84.24) 3558 7979,024 3557842,http://alphanamec.com.vn/,,,,,
AMP,HASTC,11.5000,0,78125%,15.80,10.20,0.49,23.5,66%,336%,-0.05,13000000,13000000,0,0,149500000,1159999,6070,191318,776292,967610,CTCP Armephaco,Armephaco Joint Stock Company,Số 118 Vũ Xuân Thiều - P. Phúc Lợi - Q. Long Biên - TP. Hà Nội,(84.24) 3875 9466,024 3875 9476,http://www.armephaco.com.vn,,,,,
AMS,HASTC,9.5000,0,76613%,15.00,6.36,1.38,6.9,193%,1013%,1.87,36629865,36629865,0,0,347983718,3051503,55843,480073,1471615,1951687,CTCP Cơ khí Xây dựng AMECC,AMECC MECHANICAL CONSTRUCTION JSC,Km 35 - Quốc lộ 10 -X. Quốc Tuấn - H. An Lão - Tp. Hải Phòng,(84.225) 392 2786,2253922783,www.amecc.com.vn,,,,,
AMV,HASTC,8.4000,0,68182%,14.47,8.20,0.30,28.0,190%,240%,1.48,91108861,91108861,0,1036717,765314398,109813,27004,1122882,299562,1422444,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,American Vietnamese Biotech INC,Lầu 4 Tòa nhà Phú Mã Dương Số 85 Hoàng Văn Thái - P. Tân Phú - Q. 7 - Tp. HCM,(84.651) 388 9034,+84-(0)651-388.90.32,http://amvibiotech.com/,,,,,
ANT,HASTC,9.1000,0,82130%,11.80,7.70,2.04,4.5,447%,1838%,0.70,6000000,6000000,0,0,54600002,168765,0,66476,206860,273337,CTCP Rau quả Thực phẩm An Giang,An Giang Fruit - Vegetables & Foodstuff JSC,Số 69 - 71 - 73 Nguyễn Huệ - P. Mỹ Long - Tp. Long Xuyên - T. An Giang,(84.296) 384 1196,076 3843009,http://www.antesco.com,,,,,
APF,HASTC,50.3000,0,141531%,56.64,23.05,9.79,5.1,811%,2754%,1.00,21827158,21827158,0,0,1097906031,5686465,213657,775688,1857970,2633658,CTCP Nông sản Thực phẩm Quảng Ngãi,Quang Ngai Agricultural Products and Foodstuff Joint Stock Company,48 Phạm Xuân Hoà - P. Trần Hưng Đạo - Tp. Quảng Ngãi,(84.255) 382 2536,055 3822 060,www.apfco.com.vn,,,,,
API,HASTC,16.8000,0,110381%,29.40,7.84,1.80,9.3,243%,1183%,1.70,36400000,36400000,0,17836000,611519972,602736,65536,554103,2146062,2700165,CTCP Đầu tư Châu Á - Thái Bình Dương,Asia - Pacific Investment Joint Stock Company,Tầng 3 Tòa nhà Grand Plaza Số 117 Trần Duy Hưng - P. Trung Hòa - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 3577 1983,024 35.77.19.85,http://www.apeci.com.vn,,,,,
APL,HASTC,17.6000,0,127629%,21.00,10.00,2.03,8.7,193%,1473%,0.65,1200000,1200000,0,0,21120000,0,0,16547,109456,126003,CTCP Cơ khí và Thiết bị áp lực - VVMI,VVMI-MECHANICAL AND PRESSURE EQUIPMENT JSC,Số nhà 506 - Đường Hà Huy Tập - TT. Yên Viên - H. Gia Lâm - Tp. Hà Nội,(84.24) 3827 2723,024 38780934,http://www.apluco.vn,,,,,
APP,HASTC,7.4000,0,70543%,10.30,3.00,0.41,18.0,190%,391%,1.85,4724632,4724632,0,1942340,34962277,192083,0,49577,52119,101696,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,Additives And Petroleum Products Joint Stock Company,KCN tập trung vừa và nhỏ Phú Thị - H. Gia Lâm - Tp. Hà Nội,(84.24) 3678 5060,024 36.78.49.78,http://www.app.com.vn,,,,,
APS,HASTC,11.1000,0,99730%,16.60,2.10,2396.00,0.0,21%,22%,2.30,39000000,39000000,0,39000000,432900015,181352,93435,433917,9386,443303,CTCP Chứng khoán Châu Á Thái Bình Dương,Asia - Pacific Securities Joint Stock Company,Tầng 3 toà nhà Grand Plaza, số 117 Trần Duy Hưng - P. Trung Hoà - Q. Cầu Giấy - Hà Nội,(84.24) 3573 0200,024 57.71.966,http://www.apec.com.vn,,,,
APT,HASTC,3.6000,-0.1,N/A,3.70,3.00,-23.41,-0.2,-12339%,2427%,0.00,8800000,8800000,0,0,31679999,248664,-47476,-849055,1016047,166992,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,SaiGon Aquatic Products Trading Joint Stock Company,Lô 4-6-8 Đường 1A - KCN Tân Tạo -- P.Tân Tạo A - Q.Bình Tân - Tp.HCM,(84.28) 3754 1805 - 37541806 - 37541807,,http://www.apt.com.vn,,,,,
AQN,HASTC,9.5000,0,78577%,9.50,7.50,-0.05,-190.0,-12%,-45%,-0.13,1511097,1511097,0,0,14355422,0,0,18264,47569,65833,CTCP 28 Quảng Ngãi,28 Quang Ngai Joint Stock Company,121 Lê Trung Đình, phường Trần Hưng Đạo, thành phố Quảng Ngãi, tỉnh Quảng Ngãi,(84.255) 382 2647,,http://www.agtex28qng.com/,,
ARM,HASTC,48.0000,0,405748%,52.00,14.00,0.32,150.0,60%,266%,0.65,3111283,3111283,0,1270442,149341584,216197,0,36814,127321,164135,CTCP Xuất nhập khẩu Hàng không,General Aviation Import Export JSC,Số 414 Nguyễn Văn Cừ - P. Bồ Đề - Q. Long Biên - Tp. Hà Nội,(84.24) 3827 1939,043 8271925,http://airimex.vn,,,,,
ART,HASTC,8.3000,0,72426%,12.70,2.00,0.27,30.7,234%,235%,2.55,96922509,96922509,0,0,804456843,69085,26151,1110621,7911,1118533,CTCP Chứng khoán BOS,BOS Securities Corporation,Tầng 25 Toà nhà văn phòng - 256 Cầu Giấy - P. Dịch Vọng - Q. Cầu Giấy - Hà Nội,(84.24) 3936 8368,043 9 368 367,https://bos.vn/,,,,,
ASA,HASTC,4.1000,0,39461%,4.40,1.00,0.01,410.0,9%,10%,0.88,10000000,10000000,0,4900000,40999999,109781,0,104261,5946,110207,CTCP ASA,ASA Consumer Product Joint Stock Company,Ấp Kim Ngưu - X. Tân Tiến - H. Văn Giang - T. Hưng Yên,(84.24) 6327 5775,,https://asacorp.com.vn/,,,,,
ASD,HASTC,8.0000,0,64154%,8.70,3.10,0.92,8.7,111%,738%,0.25,4000000,4000000,0,1960000,32000000,39334,31,49862,281264,331125,CTCP Sông Đà Hà Nội,Song Da Ha Noi Joint Stock Company,Toà nhà Sông Đà - Đường Phạm Hùng - P.Mỹ Đình 1 - Q.Nam Từ Liêm - TP.Hà Nội,(84.24) 6265 9598,024 6265 9528,http://songdahanoi.vn,,,,,
ASG,HASTC,27.1000,0,129294%,43.00,26.80,1.50,18.1,483%,716%,0.89,63044964,63044964,0,0,1708518548,657783,94626,1321586,636044,1957630,Công ty Cổ phần Tập đoàn ASG,Công ty Cổ phần Tập đoàn ASG,,,,,,,,,
ATA,HASTC,1.6000,0,N/A,2.10,0.20,-0.42,-3.8,-1933%,106%,2.76,11999998,11999998,0,5879999,19199997,53286,0,-480109,506389,26280,CTCP Ntaco,Ntaco Corp,99 Hùng Vương - KCN Mỹ Quý - P.Mỹ Quý - Tp.Long Xuyên - T.An Giang,(84.296) 393 1931,02963 931797,http://www.ntacocorp.com.vn,,,,,
ATB,HASTC,1.6000,0,40921%,4.20,0.50,-4.96,-0.3,-5099%,-12671%,3.41,13884000,13884000,0,0,22214400,102,0,54318,80668,134986,CTCP An Thịnh,An Thinh Joint Stock Company,Số 11 Tổ 8A - P. Đức Xuân - Tp. Bắc Kạn - T. Bắc Kạn,(84.209) 387 9779,2813879779,http://anthinhjsc.com.vn/,,,,,
ATD,HASTC,9.6000,0,171735%,9.60,9.60,0.25,38.4,56%,445%,0.00,1544300,1544300,0,0,14825281,0,0,8625,59728,68353,CTCP 28 Đà Nẵng,28 Da Nang Joint Stock Company,Số 67 - Đường Duy Tân - P. Hòa Thuận Tây - Q. Hải Châu - Tp. Đà Nẵng,(84-236) 361 8595,,http://www.agtexdanang.com.vn/,,,,,
ATG,HASTC,1.5000,0,18750%,1.60,0.60,-0.15,-10.0,-121%,-183%,0.69,15220000,15220000,0,7457800,22830000,0,0,121775,61451,183226,CTCP An Trường An,An Truong An Joint Stock Company,Số 347 - Đường Trần Hưng Đạo - P. Trần Hưng Đạo - Tp. Quy Nhơn - T. Bình Định - Việt Nam,(84.256) 381 2606 - (84) 916 033 233,84.0563824806,http://atajsc.com/,,,,,
ATS,HASTC,33.6000,0,281643%,36.90,26.40,-0.16,-210.0,-101%,-131%,-0.10,3500000,3500000,0,1715000,117599995,36614,0,41752,12181,53933,CTCP Suất ăn Công nghiệp Atesco,Atesco Industrial Cartering Joint Stock Company,Thôn Phù Long Ba - X. Long Xuyên - H. Phúc Thọ - Tp. Hà Nội,(84.24) 3312 0827,2433120917,http://atesco.vn,,,,,
AUD-X,HASTC,1.3573,0,N/A,1.43,1.25,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,USD/AUD (Australian Dollar),USD/AUD,,,,,,,,,
AUM,HASTC,10.5000,0,104063%,10.50,10.50,-0.24,-43.8,-183%,-242%,0.00,1000000,1000000,0,0,10500000,16798,578,10089,3220,13309,CTCP Vinacafe Sơn Thành,Vinacafe Son Thanh Joint Stock Company,X. Sơn Thành Tây - H. Tây Hòa - T. Phú Yên,(84.257) 359 6119 - 359 6678,057.3596120,http://www.vinasonthanh.com,,,,,
AVC,HASTC,27.0000,0,150922%,28.70,22.07,4.27,6.3,2179%,2386%,0.21,75052052,75052052,0,0,2026405404,683172,0,1343039,128052,1471091,CTCP Thủy điện A Vương,A Vuong Hydropower JSC,Thôn Dung - TT.Thạnh Mỹ - H.Nam Giang - T.Quảng Nam,(84.510) 224 3731,2363643885,http://www.avuong.com,,,,,
AVF,HASTC,0.6000,0,N/A,1.00,0.20,-2.39,-0.3,-19197%,528%,2.00,43338000,43338000,0,21171609,26002801,45086,0,-1960621,2014522,53901,CTCP Việt An,AnViFish Joint Stock Company,Quốc Lộ 91 - Khóm Thạnh An - P.Mỹ Thới - Tp.Long Xuyên - T.An Giang,(84.296) 393 2545,+84-(0)763-93.25.54,http://www.anvifish.com,,,,,
B82,HASTC,1.0000,0,9872%,1.40,0.40,0.13,7.7,14%,124%,0.00,5000000,5000000,0,2450000,5000000,105938,0,50628,411681,462309,CTCP 482,Joint Stock Company No 482,Số 155 Trường Chinh - Tp.Vinh - T.Nghệ An,(84.238) 385 3200,+84-(0)383-85.47.01,http://congty482.com.vn/,,,,,
BAB,HASTC,21.8000,0,180763%,34.00,16.51,0.90,24.2,58%,743%,1.03,708500000,708500000,0,0,15445299459,9597746,635172,8547396,100261776,108809172,Ngân hàng TMCP Bắc Á,Bac A Commercial Joint Stock Bank,Số 117 Quang Trung - P. Quang Trung - Tp. Vinh - T. Nghệ An,(84.238) 384 4277,02383 841 757,http://www.baca-bank.vn,,,,,
