MaCK,SanCK,GiaHienTai,GiaSoSach,PB,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,
AAA,HOSE,15.5500,0,83557%,20.50,9.97,1.26,12.3,304%,676%,1.48,221759974,221759974,0,16607996,3448367638,8149056,279097,4127655,5051730,9179385,CTCP Nhựa An Phát Xanh,An Phat Bioplastics JSC,Lô CN 11+CN 12 Cụm CN An Đồng - TT. Nam Sách - H. Nam Sách - T. Hải Dương,(84.220) 375 5997 - 375 5998,+84-320-3.755.113,http://www.anphatbioplastics.com,,,,
AAM,HOSE,10.8000,0,47830%,11.90,9.70,-1.61,-6.7,-670%,-712%,1.18,8546411,10446411,1900000,6191561,112821241,111452,0,192998,11919,204917,CTCP Thủy sản MeKong,Mekong Fisheries Joint Stock Company,Lô 24 KCN Trà Nóc - Q.Bình Thủy - Tp.Cần Thơ,(84.71) 384 1560 - 384 3236,+84-(0)710-384.15.60 - 384.32.36 - 384.11.92,http://www.mekongfish.vn/vn/index.aspx,,,,
AAT,HOSE,17.8000,0,142743%,21.50,15.05,0.53,33.6,282%,427%,0.71,34800000,34800000,0,0,619439973,356948,0,433812,222317,656129,Công ty Cổ phần Tiên Sơn Thanh Hóa,Công ty Cổ phần Tiên Sơn Thanh Hóa,,,,,,,,
ABS,HOSE,19.5000,0,80612%,75.80,8.38,1.36,14.3,313%,562%,1.52,37439873,37439873,0,0,730077524,1127268,0,905515,722272,1627787,CTCP Dịch vụ Nông nghiệp Bình Thuận,BinhThuan Agriculture Services JSC,Số 03 - ĐườngNguyễn Du - P. Đức Thắng - Tp. Phan Thiết - T. Bình Thuận,(84.252) 381 6823,,http://www.bitagco.com/,,,,
ACB,HOSE,33.0000,0,230286%,37.95,13.42,3.26,10.1,192%,2275%,1.29,2646627370,2646627370,0,281308951,87338703210,32320032,8629171,37929335,411585397,449514732,Ngân hàng TMCP Á Châu,Asia Commercial Bank,Số 442 Nguyễn Thị Minh Khai - P. 5 - Q. 3 - Tp. HCM,(84.28) 3929 0999,8399885,http://www.acb.com.vn,,,,
ACC,HOSE,14.1500,0,49320%,18.35,9.98,4.06,3.5,780%,1414%,1.14,16400000,16400000,0,4900000,232059994,449028,66537,470568,382903,853472,CTCP Đầu tư và Xây dựng Bình Dương ACC,ACC Binh Duong Investment and Construction JSC,Lô D_3_CN đường N7 - KCN Mỹ Phước - P.Mỹ Phước - TX.Bến Cát - T.Bình Dương,(84.274) 356 7200,+84-(0)650-356.72.01,http://www.becamexacc.com.vn,,,,
ACL,HOSE,11.5500,0,82148%,17.25,11.00,0.77,15.0,239%,547%,1.31,50159019,50159019,0,9014991,579336679,1053474,0,705399,911257,1616656,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Cuu Long Fish Joint Stock Company,90 Hùng Vương - Khóm Mỹ Thọ - P.Mỹ Quý - Tp.Long Xuyên - T.An Giang,(84.296) 393 1000 - 3935828,+84-(0)76- 393.24.46,http://www.clfish.com,,,,
ADG,HOSE,45.4000,0,336795%,68.60,45.10,2.24,20.3,898%,1663%,0.86,17819200,17819200,0,0,808991707,492808,4715,248776,182436,431212,CTCP Clever Group,Clever Group Corporation,Tầng 3 Nhà G1 tòa Five Star - Số 2 Kim Giang - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3211 5825,,http://clevergroup.vn/,,,,
ADS,HOSE,28.3000,0,179797%,28.75,7.86,1.54,18.4,231%,976%,1.24,28069450,28069450,0,7874300,794365414,1242255,43111,441802,1421861,1863662,CTCP Damsan,DamSan Joint Stock Company,Lô A4 - Đường Bùi Viện - KCN Nguyễn Đức Cảnh - P. Trần Hưng Đạo - Tp. Thái Bình - T. Thái Bình,(84.227) 364 2311,036 3642 312,http://damsanjsc.vn,,,,
AGG,HOSE,50.6000,0,183333%,51.80,23.64,5.08,10.0,409%,1841%,0.76,82492517,82492517,0,0,4174121234,2086593,419168,2276532,7966025,10242557,CTCP Đầu tư và Phát triển Bất động sản An Gia,An Gia Real Estate Investment and Development Corporation,Số 30 - Đường Nguyễn Thị Diệu - P. 6 - Q. 3 - Tp. Hồ Chí Minh,(84.28) 3930 3366,,https://angia.com.vn/,,,,
AGM,HOSE,32.7000,0,134790%,33.15,10.15,1.33,24.6,275%,548%,1.35,18200000,18200000,0,8918000,595140014,1860863,8579,441534,440156,881691,CTCP Xuất nhập khẩu An Giang,An Giang Import - Export Company,01 Ngô Gia Tự - P.Mỹ Long - Tp.Long Xuyên - T.An Giang,(84.296) 384 1548 - 384 4920,0296.3843239-3945565,http://www.angimex.com.vn,,,,
AGR,HOSE,12.2000,0,207836%,16.20,3.00,0.34,35.9,539%,585%,1.91,351733333,352533333,800000,103880000,4300906595,279191,120830,2064406,178738,2243143,CTCP Chứng khoán Agribank,Agribank Securities Corporation,Tầng 5 Toà nhà Artex - Số 172 Ngọc Khánh - P.Giảng Võ - Q.Ba Đình - Tp.Hà Nội,(84.24) 6276 2666,024 62.76.56.66,https://agriseco.com.vn/,,,,
AMD,HOSE,3.9300,0,32668%,7.80,2.25,0.11,35.7,69%,93%,1.79,163504874,163504874,0,30575968,642574166,1267197,15267,1967766,684966,2652733,CTCP Đầu tư và Khoáng sản FLC AMD,FLC AMD Mining And Investment Joint Stock Company,Tầng 5 toà nhà FLC Landmank Tower - Lê Đức Thọ - P. Mỹ Đình 2 - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 3292 9222,(84 - 4) 3291 9222,https://flcstone.vn/,,,,
ANV,HOSE,26.5000,0,140063%,34.50,14.24,1.75,15.1,461%,927%,1.61,126750125,127144875,394750,32340000,3369339188,3359999,0,2397774,2425956,4823730,CTCP Nam Việt,Nam Viet Corporation,Số 19D Trần Hưng Đạo - P. Mỹ Quý - Tp. Long Xuyên - T. An Giang,(84.296) 393 2486 - 383 4060,(0296) 634 054 - (0296) 932 486,http://www.navicorp.com.vn,,,,
