MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
000001.SS,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
A32,HASTC,6.19,4.9,862%,1738%,1.30,6800000,6800000,0,0,207400000,0,0,242217,246079,488295,,,,
AAA,HOSE,1.26,12.3,304%,676%,1.48,221759974,221759974,0,16607996,3448367638,8149056,279097,4127655,5051730,9179385,,,,
AAM,HOSE,-1.61,-6.7,-670%,-712%,1.18,8546411,10446411,1900000,6191561,112821241,111452,0,192998,11919,204917,,,,
AAS,HASTC,-0.04,-297.5,-25%,-36%,2.93,31000000,31000000,0,0,368899988,616151,-1246,349541,141053,490594,,,,
AAT,HOSE,0.53,33.6,282%,427%,0.71,34800000,34800000,0,0,619439973,356948,0,433812,222317,656129,,,,
AAV,HASTC,0.98,12.8,234%,360%,1.68,31874996,31874996,0,0,398437450,329096,14067,390601,210098,600699,,,,
ABB,HASTC,2.18,8.8,127%,1337%,1.90,571311355,571311355,0,0,10969178452,6579146,1246663,9324005,88685097,98009102,,,,
ABC,HASTC,1.69,7.0,421%,930%,1.49,20393000,20393000,0,9060,240637404,2716913,34444,370238,447656,817893,,,,
ABI,HASTC,7.15,7.3,881%,2415%,1.11,38000000,38000000,0,17326900,1995000000,1689269,271693,1125053,1960197,3085250,,,,
ABR,HASTC,0.87,25.5,583%,726%,1.44,20000000,20000000,0,0,444000015,89623,0,240453,58587,299040,,,,
ABS,HOSE,1.36,14.3,313%,562%,1.52,37439873,37439873,0,0,730077524,1127268,0,905515,722272,1627787,,,,
ABT,HASTC,3.34,8.1,571%,723%,0.95,9009407,11558307,2548900,6912531,310918454,319691,30096,416030,110646,526676,,,,
AC4,HASTC,2.70,1.6,242%,1639%,-0.08,2940862,2940862,0,0,12351620,0,0,48411,279725,328136,,,,
ACB,HOSE,3.26,10.1,192%,2275%,1.29,2646627370,2646627370,0,281308951,87338703210,32320032,8629171,37929335,411585397,449514732,,,,
ACC,HOSE,4.06,3.5,780%,1414%,1.14,16400000,16400000,0,4900000,232059994,449028,66537,470568,382903,853472,,,,
ACE,HASTC,6.25,5.8,951%,2631%,1.08,3050781,3050781,0,1489482,109828116,199947,5344,72473,128037,200510,,,,
ACL,HOSE,0.77,15.0,239%,547%,1.31,50159019,50159019,0,9014991,579336679,1053474,0,705399,911257,1616656,,,,
ACM,HASTC,-1.16,-2.1,-957%,-1605%,3.50,51000000,51000000,0,24990000,122400005,0,0,367678,248655,616333,,,,
ACS,HASTC,3.12,3.5,262%,1861%,0.65,4000000,4000000,0,0,44000000,0,0,67073,410104,477177,,,,
ACV,HASTC,0.46,158.9,178%,261%,0.93,2177173236,2177173236,0,0,159151360229,6121853,999513,38246996,18060500,56307496,,,,
ADC,HASTC,4.07,6.8,1035%,1974%,2.23,3060000,3060000,0,1499400,85067998,389810,0,63049,57211,120260,,,,
ADG,HOSE,2.24,20.3,898%,1663%,0.86,17819200,17819200,0,0,808991707,492808,4715,248776,182436,431212,,,,
ADP,HASTC,5.40,5.4,2479%,3071%,1.39,15359914,15359914,0,4672387,450045468,562962,0,269875,64429,334303,,,,
ADS,HOSE,1.54,18.4,231%,976%,1.24,28069450,28069450,0,7874300,794365414,1242255,43111,441802,1421861,1863662,,,,
AFX,HASTC,0.54,24.6,418%,495%,1.58,35000000,35000000,0,0,465500007,690663,0,378488,70335,448823,,,,
AG1,HASTC,-1.91,-3.4,-965%,-2280%,1.28,4863386,4863386,0,0,31612009,116582,0,40701,55422,96123,,,,
AGF,HASTC,-7.91,-0.4,-4156%,36502%,0.96,28109743,28109743,0,13773774,84329229,693214,0,-66351,580993,514642,,,,
AGG,HOSE,5.08,10.0,409%,1841%,0.76,82492517,82492517,0,0,4174121234,2086593,419168,2276532,7966025,10242557,,,,
AGM,HOSE,1.33,24.6,275%,548%,1.35,18200000,18200000,0,8918000,595140014,1860863,8579,441534,440156,881691,,,,
AGP,HASTC,1.93,9.5,490%,1310%,1.24,15326740,15326740,0,2112781,282012010,513858,0,226164,378668,604833,,,,
AGR,HOSE,0.34,35.9,539%,585%,1.91,351733333,352533333,800000,103880000,4300906595,279191,120830,2064406,178738,2243143,,,,
