MaCK,SanCK,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,,,,
000001.SS,HASTC,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,,,,
A32,HASTC,6.19,5.0,862%,1738%,1.31,6800000,6800000,0,0,210119997,0,0,242217,246079,488295,,,,
AAA,HOSE,1.26,12.8,304%,676%,1.48,221759974,221759974,0,16607996,3581423496,8149056,279097,4127655,5051730,9179385,,,,
AAM,HOSE,-1.61,-6.8,-670%,-712%,1.20,8546411,10446411,1900000,6191561,113865876,111452,0,192998,11919,204917,,,,
AAS,HASTC,-0.04,-325.0,-25%,-36%,3.08,31000000,31000000,0,0,403000000,616151,-1246,349541,141053,490594,,,,
AAT,HOSE,0.53,33.2,282%,427%,0.75,34800000,34800000,0,0,612480013,356948,0,433812,222317,656129,,,,
AAV,HASTC,0.98,12.7,234%,360%,1.67,31874996,31874996,0,0,395249938,329096,14067,390601,210098,600699,,,,
ABB,HASTC,2.18,9.5,127%,1337%,2.07,571311355,571311355,0,0,11826145484,6579146,1246663,9324005,88685097,98009102,,,,
ABC,HASTC,1.69,6.9,421%,930%,1.48,20393000,20393000,0,9060,236558808,2716913,34444,370238,447656,817893,,,,
ABI,HASTC,7.15,7.6,881%,2415%,1.10,38000000,38000000,0,17326900,2063399971,1689269,271693,1125053,1960197,3085250,,,,
ABR,HASTC,0.87,26.3,583%,726%,1.46,20000000,20000000,0,0,457999992,89623,0,240453,58587,299040,,,,
ABS,HOSE,1.36,15.0,313%,562%,1.54,37439873,37439873,0,0,763773395,1127268,0,905515,722272,1627787,,,,
ABT,HASTC,3.34,8.1,571%,723%,0.95,9009407,11558307,2548900,6912531,313230124,319691,30096,416030,110646,526676,,,,
AC4,HASTC,2.70,1.6,242%,1639%,-0.08,2940862,2940862,0,0,12351620,0,0,48411,279725,328136,,,,
ACB,HOSE,3.26,11.1,192%,2275%,1.30,2646627370,2646627370,0,281308951,95675583464,32320032,8629171,37929335,411585397,449514732,,,,
ACC,HOSE,4.06,3.4,780%,1414%,1.13,16400000,16400000,0,4900000,225500000,449028,66537,470568,382903,853472,,,,
