<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
000001.SS,20190918,2984.0801,2996.3999,2982.3999,2985.6599,168000
A32,20190918,21.4950,21.4950,21.4950,21.4950,2600
AAA,20190918,14.6310,14.8139,14.5853,14.5853,1195840
AAM,20190918,11.1547,11.4899,11.1547,11.4899,190
AAV,20190918,10.3000,10.4000,9.9000,9.9000,149800
ABC,20190918,8.9568,8.9568,8.9568,8.9568,3040
ABI,20190918,26.2275,26.2275,25.3934,25.3934,1100
ABR,20190918,20.0000,20.0000,20.0000,20.0000,200
ABT,20190918,32.4377,32.4377,32.4377,32.4377,0
AC4,20190918,3.0000,3.0000,3.0000,3.0000,0
ACB,20190918,13.7231,13.9077,13.6616,13.7846,1542208
ACC,20190918,12.6455,12.6455,12.6455,12.6455,40
ACE,20190918,21.6635,21.6635,21.6635,21.6635,0
ACL,20190918,14.8263,14.9982,14.4825,14.6115,4070
ACM,20190918,0.5000,0.6000,0.4000,0.5000,51201
ACS,20190918,12.8523,12.8523,12.8523,12.8523,0
ACV,20190918,75.9118,76.3072,75.9118,76.1095,90298
ADC,20190918,12.7131,12.7131,12.7131,12.7131,0
ADP,20190918,8.6089,8.6089,8.6089,8.6089,0
ADS,20190918,9.5561,9.5561,9.3816,9.5124,6820
AFX,20190918,4.9000,4.9000,4.7000,4.8000,41500
AG1,20190918,3.5826,3.5826,3.5826,3.5826,0
AGF,20190918,3.0000,3.0000,3.0000,3.0000,20
AGM,20190918,9.0440,9.0440,8.9083,8.9084,5140
AGP,20190918,27.3714,27.3714,27.3714,27.3714,0
AGR,20190918,4.6000,4.6000,4.5000,4.5300,307080
AGX,20190918,28.3689,28.3689,28.3689,28.3689,0
ALT,20190918,12.4351,12.4351,12.4351,12.4350,100
ALV,20190918,2.3000,2.3000,2.3000,2.3000,0
AMC,20190918,16.9005,16.9005,16.9005,16.9004,100
AMD,20190918,1.5400,1.5600,1.5400,1.5500,418150
AME,20190918,6.6000,6.6000,6.6000,6.6000,0
AMP,20190918,14.0000,14.0000,14.0000,14.0000,0
AMS,20190918,7.2727,7.2727,7.2727,7.2727,1000
AMV,20190918,13.0417,13.1776,12.8379,13.0417,68702
ANT,20190918,6.0000,6.0000,6.0000,6.0000,0
ANV,20190918,21.8937,22.2090,21.8937,21.8936,429380
APC,20190918,22.0500,22.5500,22.0500,22.3500,3820
APF,20190918,14.6305,14.6305,14.6305,14.6305,11
APG,20190918,7.9760,8.0618,7.7187,7.7187,385730
API,20190918,12.8751,12.8751,12.8751,12.8751,100
