
Mã	
Mua	Bán	
Khối lượng giao dịch ròng	
Giá trị giao dịch ròng	
Room còn lại	
Đang sở hữu	
Khối lượng	
Giá trị	
Khối lượng	
Giá trị	
KDH	1,163,600 	43,617,880,000 	31,000 	1,160,400,000 	1,132,600 	42,457,480,000 	105,443,188 	30.78% 
OCB	1,044,300 	27,874,785,000 	10,100 	268,545,000 	1,034,200 	27,606,240,000 	14,389,139 	20.69% 
HDB	847,900 	27,383,745,000 	38,300 	1,237,885,000 	809,600 	26,145,860,000 	67,459,852 	17.31% 
MBB	1,253,500 	43,629,145,000 	452,700 	15,781,935,000 	800,800 	27,847,210,000 	11,769,396 	22.81% 
VHM	914,100 	94,006,770,000 	161,800 	16,706,920,000 	752,300 	77,299,850,000 	883,830,496 	22.61% 
HQC	568,300 	2,048,957,000 	37,500 	138,750,000 	530,800 	1,910,207,000 	226,479,749 	1.48% 
PVT	593,600 	9,732,315,000 	120,500 	1,975,575,000 	473,100 	7,756,740,000 	116,484,527 	13.01% 
NLG	981,200 	36,400,905,000 	540,900 	20,083,605,000 	440,300 	16,317,300,000 	12,731,356 	44.54% 
ROS	495,600 	3,424,593,000 	101,900 	696,385,000 	393,700 	2,728,208,000 	268,013,845 	1.78% 
KBC	1,075,600 	34,402,125,000 	715,200 	22,852,870,000 	360,400 	11,549,255,000 	138,481,333 	19.89% 
MSN	797,600 	89,612,100,000 	500,000 	56,279,250,000 	297,600 	33,332,850,000 	190,872,550 	83.75% 
PDR	401,000 	29,299,680,000 	107,000 	7,874,000,000 	294,000 	21,425,680,000 	201,555,527 	7.59% 
HAX	286,100 	9,042,370,000 	37,000 	1,166,025,000 	249,100 	7,876,345,000 	12,380,094 	15.31% 
FUEVFVND	420,000 	10,041,356,000 	226,900 	5,417,000,000 	193,100 	4,624,356,000 	790,685 	 
DLG	195,900 	579,483,000 	4,000 	11,960,000 	191,900 	567,523,000 	138,224,783 	2.82% 
BCG	198,700 	2,454,390,000 	10,200 	125,070,000 	188,500 	2,329,320,000 	56,943,459 	14.68% 
FRT	228,600 	5,678,430,000 	56,300 	1,430,200,000 	172,300 	4,248,230,000 	28,369,000 	13.08% 
DXG	206,500 	5,015,600,000 	45,800 	1,105,725,000 	160,700 	3,909,875,000 	82,320,959 	33.17% 
CKG	123,400 	2,245,290,000 	1,300 	23,740,000 	122,100 	2,221,550,000 	38,662,072 	2.14% 
PC1	308,800 	7,713,545,000 	187,600 	4,697,520,000 	121,200 	3,016,025,000 	72,753,220 	10.95% 
HCM	150,800 	5,574,300,000 	56,300 	2,067,370,000 	94,500 	3,506,930,000 	160,112,235 	 
HT1	96,000 	1,474,690,000 	9,500 	144,890,000 	86,500 	1,329,800,000 	176,124,871 	2.84% 
SZC	388,000 	13,230,385,000 	303,100 	10,415,375,000 	84,900 	2,815,010,000 	46,076,740 	2.92% 
BVH	124,900 	6,706,700,000 	41,300 	2,209,160,000 	83,600 	4,497,540,000 	160,463,880 	27.38% 
