<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
A32,20210519,0.0000,32.0000,32.0000,32.0000,2000,0.0000,32.0000,32.0000,32.0000,0,0,0
A32,20210518,0.0000,32.9000,32.9000,32.9000,300,0.0000,32.9000,32.9000,32.9000,0,0,0
A32,20210513,33.2000,33.2000,28.6000,33.2000,1000,33.2000,33.2000,28.6000,33.2000,5000,0,0
A32,20210512,33.7000,33.7000,33.5000,33.5000,300,33.7000,33.7000,33.5000,33.5000,0,0,0
A32,20210426,33.9000,33.9000,33.9000,33.9000,800,33.9000,33.9000,33.9000,33.9000,0,0,0
A32,20210420,34.9000,34.9000,30.0000,30.0000,1100,34.9000,34.9000,30.0000,30.0000,0,100,0
A32,20210416,32.3000,32.3000,32.3000,32.3000,1800,32.3000,32.3000,32.3000,32.3000,0,0,0
A32,20210407,31.0000,32.8000,31.0000,32.8000,700,31.0000,32.8000,31.0000,32.8000,0,0,0
A32,20210405,28.6000,28.6000,28.6000,28.6000,100,28.6000,28.6000,28.6000,28.6000,0,0,0
A32,20210402,30.3000,30.3000,30.3000,30.3000,100,30.3000,30.3000,30.3000,30.3000,0,0,0
A32,20210401,30.1000,30.1000,30.1000,30.1000,100,30.1000,30.1000,30.1000,30.1000,0,0,0
A32,20210331,30.1000,30.1000,25.8000,30.0000,1000,30.1000,30.1000,25.8000,30.0000,4300,0,0
A32,20210329,30.5000,30.5000,30.2000,30.2000,1000,30.5000,30.5000,30.2000,30.2000,0,0,0
A32,20210326,30.0000,30.6000,30.0000,30.6000,700,30.0000,30.6000,30.0000,30.6000,0,0,0
A32,20210323,34.8000,34.8000,34.8000,34.8000,200,34.8000,34.8000,34.8000,34.8000,0,0,0
A32,20210319,34.9000,35.0000,33.8000,33.8000,600,34.9000,35.0000,33.8000,33.8000,0,0,0
A32,20210317,35.0000,35.0000,35.0000,35.0000,100,35.0000,35.0000,35.0000,35.0000,0,0,0
A32,20210311,32.3000,32.3000,32.3000,32.3000,100,32.3000,32.3000,32.3000,32.3000,0,0,0
A32,20210310,31.0000,34.0000,31.0000,34.0000,800,31.0000,34.0000,31.0000,34.0000,0,0,0
A32,20210303,35.5000,36.0000,35.5000,36.0000,400,35.5000,36.0000,35.5000,36.0000,0,0,0
A32,20210301,35.9000,36.0000,35.9000,36.0000,1700,35.9000,36.0000,35.9000,36.0000,0,0,0
A32,20210225,32.4000,32.4000,32.4000,32.4000,400,32.4000,32.4000,32.4000,32.4000,0,0,0
A32,20210224,28.6000,28.6000,28.6000,28.6000,100,28.6000,28.6000,28.6000,28.6000,0,0,0
A32,20210222,32.0000,32.0000,31.1000,31.1000,600,32.0000,32.0000,31.1000,31.1000,0,0,0
A32,20210219,36.0000,36.0000,36.0000,36.0000,200,36.0000,36.0000,36.0000,36.0000,0,0,0
A32,20210217,32.3000,34.9000,32.3000,34.9000,700,32.3000,34.9000,32.3000,34.9000,0,0,0
A32,20210205,33.0000,33.0000,32.0000,32.0000,600,33.0000,33.0000,32.0000,32.0000,0,0,0
A32,20210202,33.0000,33.0000,33.0000,33.0000,200,33.0000,33.0000,33.0000,33.0000,0,0,0
A32,20210128,29.2000,29.2000,29.2000,29.2000,1800,29.2000,29.2000,29.2000,29.2000,0,0,0
A32,20210127,34.0000,34.0000,34.0000,34.0000,100,34.0000,34.0000,34.0000,34.0000,0,0,0
A32,20210125,34.0000,34.1000,34.0000,34.1000,400,34.0000,34.1000,34.0000,34.1000,0,0,0
A32,20210122,34.9000,34.9000,33.0000,33.0000,900,34.9000,34.9000,33.0000,33.0000,0,0,0
A32,20210121,35.0000,35.0000,35.0000,35.0000,100,35.0000,35.0000,35.0000,35.0000,0,0,0
A32,20210120,37.9000,37.9000,37.9000,37.9000,100,37.9000,37.9000,37.9000,37.9000,0,0,0
A32,20210118,34.8000,34.8000,34.8000,34.8000,1400,34.8000,34.8000,34.8000,34.8000,0,0,100
A32,20210115,31.5000,31.5000,31.2000,31.2000,1400,31.5000,31.5000,31.2000,31.2000,0,0,0
A32,20210111,36.9053,37.0014,36.5209,37.0014,1000,38.4000,38.5000,38.0000,38.5000,0,0,0
A32,20210107,34.1182,37.0975,36.0404,37.0975,1400,35.5000,38.6000,37.5000,38.6000,0,0,0
A32,20210106,33.1571,34.1182,34.1182,34.1182,100,34.5000,35.5000,35.5000,35.5000,0,0,0
A32,20210105,33.1571,33.1571,33.1571,33.1571,100,34.5000,34.5000,34.5000,34.5000,21000,100,0
A32,20201231,33.1572,33.1572,33.1572,33.1571,200,34.5000,34.5000,34.5000,34.5000,0,0,0
A32,20201228,33.2532,33.6376,33.2532,33.6377,500,34.6000,35.0000,34.6000,35.0000,0,0,0
A32,20201223,33.1571,33.2532,33.1571,33.1571,2600,34.5000,34.6000,34.5000,34.5000,0,0,0
A32,20201222,33.1571,33.1571,33.1571,33.1571,119,34.5000,34.5000,34.5000,34.5000,0,0,0
A32,20201221,28.8323,28.8323,28.8323,28.8323,200,30.0000,30.0000,30.0000,30.0000,0,0,0
A32,20201218,28.8323,28.8323,28.8323,28.8323,100,30.0000,30.0000,30.0000,30.0000,0,0,0
A32,20201217,29.2167,29.2167,29.2167,29.2167,1,30.4000,30.4000,30.4000,30.4000,0,0,0
A32,20201214,0.0000,29.2167,0.0000,29.2167,20,0.0000,30.4000,0.0000,30.4000,0,0,0
A32,20201208,29.2167,29.2167,29.2167,29.2167,200,30.4000,30.4000,30.4000,30.4000,0,0,0
A32,20201204,33.6376,34.5987,33.6376,34.5988,300,35.0000,36.0000,35.0000,36.0000,0,0,0
A32,20201202,30.7544,30.7544,30.7544,30.7544,1000,32.0000,32.0000,32.0000,32.0000,0,0,0
A32,20201120,30.3700,30.3700,30.3700,30.3700,800,31.6000,31.6000,31.6000,31.6000,0,0,0
A32,20201119,29.7934,32.6766,29.7934,32.6766,1000,31.0000,34.0000,31.0000,34.0000,0,0,0
A32,20201116,27.8712,29.7933,27.8712,29.7934,800,29.0000,31.0000,29.0000,31.0000,0,0,0
A32,20201112,26.9102,26.9102,26.9102,26.9101,500,28.0000,28.0000,28.0000,28.0000,0,0,0
A32,20201111,27.2945,27.3906,27.2945,27.3907,500,28.4000,28.5000,28.4000,28.5000,0,0,0
A32,20201106,26.9102,26.9102,26.9102,26.9101,700,28.0000,28.0000,28.0000,28.0000,0,0,0
A32,20201105,25.9491,25.9491,25.9491,25.9491,1000,27.0000,27.0000,27.0000,27.0000,0,0,0
A32,20201104,23.5464,23.5464,23.5464,23.5464,100,24.5000,24.5000,24.5000,24.5000,0,0,0
A32,20201030,27.3907,27.3907,27.3907,27.3907,100,28.5000,28.5000,28.5000,28.5000,0,0,0
A32,20201027,26.4296,26.4296,26.4296,26.4296,500,27.5000,27.5000,27.5000,27.5000,0,0,0
A32,20201020,24.5075,24.5075,24.3153,24.3152,1000,25.5000,25.5000,25.3000,25.3000,0,0,0
A32,20201012,28.5440,28.5440,28.5440,28.5440,400,29.7000,29.7000,29.7000,29.7000,0,0,0
A32,20201009,33.5415,33.5415,33.5415,33.5416,100,34.9000,34.9000,34.9000,34.9000,0,0,0
A32,20201007,39.4042,39.4042,39.4042,39.4041,1000,41.0000,41.0000,41.0000,41.0000,0,0,0
A32,20201006,37.4819,40.3652,33.7337,33.7338,2400,39.0000,42.0000,35.1000,35.1000,0,0,0
A32,20200930,39.5964,39.5964,39.5964,39.5963,100,41.2000,41.2000,41.2000,41.2000,0,0,0
A32,20200928,34.5987,34.5987,34.5987,34.5988,1400,36.0000,36.0000,36.0000,36.0000,0,0,0
A32,20200923,32.6766,32.6766,31.7155,31.7155,1500,34.0000,34.0000,33.0000,33.0000,0,0,0
A32,20200907,28.8323,28.8323,28.8323,28.8323,100,30.0000,30.0000,30.0000,30.0000,0,0,0
A32,20200901,25.4686,25.4686,25.4686,25.4685,200,26.5000,26.5000,26.5000,26.5000,0,0,200
A32,20200825,25.9491,29.7934,25.9491,29.7934,300,27.0000,31.0000,27.0000,31.0000,0,200,0
A32,20200818,25.9491,25.9491,25.9491,25.9491,500,27.0000,27.0000,27.0000,27.0000,0,0,0
A32,20200811,25.9491,25.9491,25.9491,25.9491,800,27.0000,27.0000,27.0000,27.0000,0,0,0
A32,20200810,24.9880,24.9880,24.9880,24.9880,500,26.0000,26.0000,26.0000,26.0000,0,0,0
A32,20200731,25.3724,25.3724,25.3724,25.3724,1100,26.4000,26.4000,26.4000,26.4000,0,0,0
A32,20200730,23.6425,23.6425,23.6425,23.6425,1000,24.6000,24.6000,24.6000,24.6000,0,0,0
A32,20200724,23.6425,23.6425,23.6425,23.6425,1000,24.6000,24.6000,24.6000,24.6000,0,0,0
A32,20200721,24.9880,24.9880,24.9880,24.9880,500,26.0000,26.0000,26.0000,26.0000,0,0,0
A32,20200720,25.9491,25.9491,25.9491,25.9491,1500,27.0000,27.0000,27.0000,27.0000,0,0,0
A32,20200706,25.0841,25.0841,24.9880,24.9880,3000,26.1000,26.1000,26.0000,26.0000,0,0,0
A32,20200625,25.2763,25.2763,25.2763,25.2763,300,26.3000,26.3000,26.3000,26.3000,0,0,0
A32,20200616,25.2763,25.2763,25.2763,25.2763,100,26.3000,26.3000,26.3000,26.3000,0,0,0
A32,20200605,25.2763,25.2763,25.2763,25.2763,2200,26.3000,26.3000,26.3000,26.3000,0,0,0
A32,20200604,25.2763,25.2763,25.2763,25.2763,1500,26.3000,26.3000,26.3000,26.3000,0,0,0
A32,20200601,24.0273,24.0273,23.5468,23.7386,1200,25.0000,25.0000,24.5000,24.7000,0,0,0
A32,20200525,25.7573,25.7573,25.7573,25.7573,800,27.5000,27.5000,27.5000,27.5000,0,0,0
A32,20200522,24.3524,24.3524,24.3524,24.3524,500,26.0000,26.0000,26.0000,26.0000,0,0,0
A32,20200521,24.2588,24.3524,24.2588,24.3524,3200,25.9000,26.0000,25.9000,26.0000,0,0,0
A32,20200518,23.4157,23.4157,22.9474,23.0411,2300,25.0000,25.0000,24.5000,24.6000,0,0,0
A32,20200511,24.7270,26.2256,24.7270,26.2256,700,26.4000,28.0000,26.4000,28.0000,0,0,0
A32,20200507,22.9475,22.9475,22.9475,22.9474,400,24.5000,24.5000,24.5000,24.5000,0,0,0
A32,20200506,24.6333,24.6333,24.6333,24.6334,200,26.3000,26.3000,26.3000,26.3000,0,0,0
A32,20200505,24.7270,24.7270,24.7270,24.7270,200,26.4000,26.4000,26.4000,26.4000,0,0,0
A32,20200504,24.7270,24.8207,24.7270,24.8207,2700,26.4000,26.5000,26.4000,26.5000,0,0,0
A32,20200429,22.5728,23.6968,22.4791,23.6967,2900,24.1000,25.3000,24.0000,25.3000,0,0,0
A32,20200428,22.4792,27.1623,22.4792,27.1623,3200,24.0000,29.0000,24.0000,29.0000,0,0,0
A32,20200424,25.7573,28.8482,22.4791,22.4791,4200,27.5000,30.8000,24.0000,24.0000,0,0,0
A32,20200423,25.1017,25.1017,25.1017,25.1017,1900,26.8000,26.8000,26.8000,26.8000,0,0,0
A32,20200422,24.6334,25.1954,24.3524,24.3524,1000,26.3000,26.9000,26.0000,26.0000,0,0,0
A32,20200421,23.4158,25.1017,23.4158,25.1017,4400,25.0000,26.8000,25.0000,26.8000,0,0,0
A32,20200417,25.4764,25.4764,21.1679,21.1678,700,27.2000,27.2000,22.6000,22.6000,0,0,0
A32,20200416,22.8538,22.8538,22.5728,22.5728,300,24.4000,24.4000,24.1000,24.1000,0,0,0
A32,20200415,19.6693,23.3222,19.6693,23.3221,5400,21.0000,24.9000,21.0000,24.9000,7700,0,0
A32,20200414,20.8868,20.8868,20.1375,20.1376,2700,22.3000,22.3000,21.5000,21.5000,0,0,0
A32,20200413,22.4792,22.4792,22.4792,22.4791,1000,24.0000,24.0000,24.0000,24.0000,0,0,0
A32,20200409,24.8207,26.7876,24.8207,26.7876,5000,26.5000,28.6000,26.5000,28.6000,0,0,0
A32,20200408,24.8207,24.8207,24.8207,24.8207,1200,26.5000,26.5000,26.5000,26.5000,0,0,0
A32,20200407,24.8207,24.8207,24.8207,24.8207,1700,26.5000,26.5000,26.5000,26.5000,0,0,0
A32,20200403,24.8207,24.8207,24.8207,24.8207,800,26.5000,26.5000,26.5000,26.5000,0,0,0
A32,20200401,23.8841,23.8841,23.8841,23.8841,900,25.5000,25.5000,25.5000,25.5000,0,0,0
A32,20200327,23.4158,23.4158,23.4158,23.4158,700,25.0000,25.0000,25.0000,25.0000,0,0,0
