<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HPG,20210521,66.1000,66.4000,65.4000,65.6000,22951900
HPG,20210520,66.2000,66.7000,65.5000,66.6000,21552100
HPG,20210519,64.0000,66.7000,63.5000,66.1000,28407500
HPG,20210518,62.5000,63.7000,62.5000,63.4000,39146300
HPG,20210517,61.4000,62.4000,60.6000,61.9000,34004200
HPG,20210514,62.0000,62.5000,61.0000,61.4000,31815400
HPG,20210513,62.4000,63.0000,61.5000,61.5000,24654400
HPG,20210512,61.6000,62.7000,61.3000,62.7000,29316300
HPG,20210511,63.3000,63.3000,62.0000,62.0000,29565200
HPG,20210510,60.8000,63.3000,60.8000,63.0000,28160100
HPG,20210507,60.8000,61.5000,59.1000,60.8000,29552700
HPG,20210506,59.3000,60.3000,58.8000,59.4000,21609700
HPG,20210505,60.0000,60.3000,59.3000,59.3000,24468200
HPG,20210504,57.3000,60.4000,57.0000,59.8000,32996000
HPG,20210429,56.5000,58.7000,56.4000,58.1000,27877700
HPG,20210428,56.3000,56.5000,55.5000,56.0000,15619100
HPG,20210427,55.1000,56.4000,54.4000,56.3000,21294400
HPG,20210426,56.5000,56.6000,55.0000,55.1000,25156400
HPG,20210423,55.5000,56.4000,54.8000,56.4000,28493500
HPG,20210422,56.5000,57.9000,55.0000,55.0000,33049800
HPG,20210420,58.0000,58.6000,56.0000,57.2000,37829300
HPG,20210419,55.2000,57.8000,54.7000,57.8000,34808100
HPG,20210416,54.1000,55.7000,53.5000,54.6000,28433700
HPG,20210415,53.5000,54.7000,52.5000,54.5000,32078100
HPG,20210414,50.1000,53.3000,49.9000,53.0000,28753300
HPG,20210413,51.5000,51.5000,50.1000,50.1000,26956900
HPG,20210412,49.9000,51.5000,49.7500,51.2000,27010400
HPG,20210409,49.3000,49.9000,49.0500,49.5500,15623400
HPG,20210408,49.5000,49.6000,49.0000,49.3500,11970000
HPG,20210407,49.4000,49.6000,48.9000,49.4500,14407800
HPG,20210406,49.3000,49.5500,49.1000,49.4000,14033300
HPG,20210405,49.5000,49.6000,48.9500,49.3000,15377800
HPG,20210402,48.8000,49.3000,48.6000,49.0500,16678500
HPG,20210401,47.0000,48.5000,46.9500,48.5000,27681900
HPG,20210331,46.4500,47.3500,46.3500,46.8000,16323700
HPG,20210330,46.5000,46.7500,46.1000,46.4500,13333800
HPG,20210329,46.5000,46.6000,46.1500,46.3000,13251900
HPG,20210326,45.5000,46.2000,45.0500,46.2000,28109800
