<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
000001.SS,20210521,3510.8401,3518.3799,3479.6699,3486.5601,283800,3510.8401,3518.3799,3479.6699,3486.5601,0,0,0
000001.SS,20210520,3500.8799,3517.7400,3486.0701,3506.9399,326000,3500.8799,3517.7400,3486.0701,3506.9399,0,0,0
000001.SS,20210519,3521.1101,3521.1101,3503.8201,3510.9600,278300,3521.1101,3521.1101,3503.8201,3510.9600,0,0,0
000001.SS,20210518,3520.6499,3529.0100,3510.8601,3529.0100,271300,3520.6499,3529.0100,3510.8601,3529.0100,0,0,0
000001.SS,20210517,3490.4099,3530.5100,3490.1399,3517.6201,322100,3490.4099,3530.5100,3490.1399,3517.6201,0,0,0
000001.SS,20210516,3490.4099,3530.5100,3490.1399,3517.6201,322100,3490.4099,3530.5100,3490.1399,3517.6201,0,0,0
000001.SS,20210514,3436.0901,3490.6399,3422.5601,3490.3799,337000,3436.0901,3490.6399,3422.5601,3490.3799,0,0,0
000001.SS,20210513,3432.1399,3448.0200,3418.3799,3429.5400,319300,3432.1399,3448.0200,3418.3799,3429.5400,0,0,0
000001.SS,20210512,3429.7500,3466.3701,3428.3899,3462.7500,311400,3429.7500,3466.3701,3428.3899,3462.7500,0,0,0
000001.SS,20210511,3406.6001,3448.1001,3384.7000,3441.8501,350900,3406.6001,3448.1001,3384.7000,3441.8501,0,0,0
000001.SS,20210510,3423.5901,3429.7400,3401.9299,3427.9900,374200,3423.5901,3429.7400,3401.9299,3427.9900,0,0,0
000001.SS,20210509,3423.5901,3429.7400,3401.9299,3427.9900,374200,3423.5901,3429.7400,3401.9299,3427.9900,0,0,0
000001.SS,20210507,3446.4099,3457.8899,3416.7800,3418.8701,353800,3446.4099,3457.8899,3416.7800,3418.8701,0,0,0
000001.SS,20210506,3446.0701,3471.2400,3426.8501,3441.2800,310400,3446.0701,3471.2400,3426.8501,3441.2800,0,0,0
