
Mã

Dư mua
Dư bán
Giá
Thay đổi
Số lệnh đặt mua
Khối lượng đặt mua
KLTB
1 lệnh mua
Số lệnh đặt bán
Khối lượng đặt bán
KLTB
1 lệnh bán
Chênh lệch KL đặt mua - đặt bán
AAA	3,991,700 	2,717,100 	15.30 	0.45 (3.0 %)     	2,342 	8,775,200 	3,747	1,702 	7,500,600 	4,407	1,274,600
AAM	5,600 	5,700 	10.40 	0.10 (1.0 %)     	13 	6,600 	508	13 	6,700 	515	-100
AAT	391,200 	486,500 	21.00 	-0.50 (-2.3 %)     	476 	861,300 	1,809	300 	956,600 	3,189	-95,300
ABS	128,100 	188,100 	31.00 	-1.00 (-3.1 %)     	308 	405,200 	1,316	369 	465,200 	1,261	-60,000
ACB	7,691,300 	11,586,800 	37.50 	0.10 (0.3 %)     	7,334 	16,837,800 	2,296	6,593 	20,733,300 	3,145	-3,895,500
ACC	60,900 	25,100 	14.40 	0.00 (0.0 %)     	117 	75,200 	643	66 	39,400 	597	35,800
ACL	101,300 	30,100 	12.25 	0.75 (6.5 %)     	188 	212,500 	1,130	103 	141,300 	1,372	71,200
ADG	8,100 	30,500 	53.50 	0.00 (0.0 %)     	77 	65,500 	851	36 	87,900 	2,442	-22,400
ADS	1,042,200 	979,300 	20.25 	0.75 (3.8 %)     	986 	2,294,400 	2,327	699 	2,231,500 	3,192	62,900
AGG	1,378,600 	472,300 	47.60 	0.10 (0.2 %)     	962 	3,363,500 	3,496	524 	2,457,200 	4,689	906,300
AGM	48,400 	374,500 	31.10 	-0.90 (-2.8 %)     	83 	139,800 	1,684	198 	465,900 	2,353	-326,100
AGR	1,570,800 	2,767,700 	11.40 	0.10 (0.9 %)     	1,610 	2,914,600 	1,810	2,093 	4,111,500 	1,964	-1,196,900
AMD	10,564,500 	6,378,200 	6.33 	0.11 (1.8 %)     	3,985 	15,420,300 	3,870	1,677 	11,234,000 	6,699	4,186,300
ANC11601	0 	0 	.00 	0.00 (0.0 %)     	0 	0 	NaN	0 	0 	NaN	0
ANV	511,700 	584,600 	24.90 	0.70 (2.9 %)     	735 	1,156,800 	1,574	829 	1,229,700 	1,483	-72,900
APC	19,200 	38,700 	21.65 	0.15 (0.7 %)     	51 	25,200 	494	43 	44,700 	1,040	-19,500
APG	167,700 	1,018,900 	8.99 	0.02 (0.2 %)     	540 	818,700 	1,516	659 	1,669,900 	2,534	-851,200
APH	124,000 	358,000 	58.80 	-0.20 (-0.3 %)     	534 	2,486,900 	4,657	460 	2,720,900 	5,915	-234,000
ASM	5,654,100 	281,500 	12.30 	0.80 (7.0 %)     	2,078 	7,796,100 	3,752	867 	2,423,500 	2,795	5,372,600
ASP	133,800 	59,100 	6.75 	0.15 (2.3 %)     	123 	224,200 	1,823	67 	149,500 	2,231	74,700
AST	52,500 	60,300 	49.90 	0.00 (0.0 %)     	98 	130,400 	1,331	137 	138,200 	1,009	-7,800
BCE	120,700 	127,200 	11.20 	0.10 (0.9 %)     	161 	232,200 	1,442	162 	238,700 	1,473	-6,500
BCG	1,628,700 	1,096,400 	12.35 	0.50 (4.2 %)     	1,286 	3,085,900 	2,400	1,100 	2,553,600 	2,321	532,300
BCM	93,900 	43,000 	52.70 	-0.80 (-1.5 %)     	125 	128,500 	1,028	123 	77,600 	631	50,900
BFC	1,571,800 	936,200 	25.80 	1.30 (5.3 %)     	632 	2,576,200 	4,076	523 	1,940,600 	3,711	635,600
BHN	1,900 	4,500 	61.00 	0.00 (0.0 %)     	15 	1,900 	127	19 	4,500 	237	-2,600
BIC	67,000 	112,500 	20.00 	0.00 (0.0 %)     	162 	103,700 	640	131 	149,200 	1,139	-45,500
BID	23,949,600 	5,352,600 	44.75 	2.90 (6.9 %)     	7,906 	36,977,100 	4,677	12,265 	18,380,100 	1,499	18,597,000
BKG	231,600 	263,100 	10.75 	0.25 (2.4 %)     	241 	523,100 	2,171	208 	554,600 	2,666	-31,500
BMC	182,400 	113,000 	15.00 	0.50 (3.4 %)     	187 	290,900 	1,556	156 	221,500 	1,420	69,400
BMI	864,600 	1,097,200 	32.00 	-0.35 (-1.1 %)     	743 	2,260,200 	3,042	1,157 	2,492,800 	2,155	-232,600
BMP	120,900 	75,900 	56.90 	0.30 (0.5 %)     	211 	158,600 	752	167 	113,600 	680	45,000
BRC	57,500 	38,600 	12.70 	-0.10 (-0.8 %)     	35 	59,000 	1,686	22 	40,100 	1,823	18,900
BTP	27,800 	1,500 	17.15 	1.10 (6.9 %)     	61 	103,800 	1,702	77 	77,500 	1,006	26,300
BTT	5,200 	1,800 	51.00 	0.00 (0.0 %)     	4 	5,200 	1,300	4 	1,800 	450	3,400
BVH	1,204,200 	707,400 	53.30 	0.50 (0.9 %)     	1,326 	2,031,000 	1,532	1,457 	1,534,200 	1,053	496,800
BWE	225,700 	285,000 	28.90 	0.10 (0.3 %)     	456 	674,800 	1,480	277 	734,100 	2,650	-59,300
C32	250,600 	45,200 	25.50 	0.40 (1.6 %)     	128 	312,800 	2,444	78 	107,400 	1,377	205,400
C47	257,900 	61,200 	11.30 	0.60 (5.6 %)     	176 	396,200 	2,251	100 	199,500 	1,995	196,700
CCI	3,800 	14,800 	15.60 	-0.40 (-2.5 %)     	20 	19,600 	980	25 	30,600 	1,224	-11,000
CCL	401,900 	398,500 	12.35 	-0.10 (-0.8 %)     	650 	918,500 	1,413	272 	915,100 	3,364	3,400
CDC	14,300 	17,100 	14.65 	-0.15 (-1.0 %)     	37 	15,300 	414	22 	18,100 	823	-2,800
CEE	100 	400 	15.50 	0.00 (0.0 %)     	1 	100 	100	4 	400 	100	-300
CFPT2016	-609,700 	-609,700 	9.00 	0.28 (3.2 %)     	0 	0 	NaN	0 	0 	NaN	0
CHP	80,600 	26,400 	18.40 	-0.10 (-0.5 %)     	47 	91,200 	1,940	29 	37,000 	1,276	54,200
CIG	52,500 	19,200 	6.20 	0.00 (0.0 %)     	49 	67,900 	1,386	39 	34,600 	887	33,300
CII	2,554,000 	1,105,700 	20.00 	0.00 (0.0 %)     	794 	4,238,300 	5,338	666 	2,790,000 	4,189	1,448,300
CKG	2,264,500 	3,754,800 	17.70 	0.15 (0.9 %)     	2,765 	5,276,600 	1,908	2,108 	6,766,900 	3,210	-1,490,300
CLC	40,100 	14,800 	36.25 	-0.55 (-1.5 %)     	43 	52,300 	1,216	30 	27,000 	900	25,300
CLL	22,500 	5,500 	30.60 	-0.40 (-1.3 %)     	19 	23,500 	1,237	10 	6,500 	650	17,000
CLW	12,000 	900 	31.35 	0.00 (0.0 %)     	3 	12,000 	4,000	2 	900 	450	11,100
CMG	52,300 	151,700 	35.15 	-0.55 (-1.5 %)     	273 	100,100 	367	188 	199,500 	1,061	-99,400
CMV	2,600 	0 	15.30 	1.00 (7.0 %)     	6 	2,700 	450	1 	100 	100	2,600
